,experiment
G382_Watkins07_Unvax_rh2848_B_D14-SIV_RNA1_Lib1_GL102_S83_nohmrRNA_noglobinLog,35688671
G381_Watkins07_Unvax_rh2848_B_D10-SIV_RNA1_Lib1_GL104_S99_nohmrRNA_noglobinLog,38888675
G217_Watkins07_AVR_rh3011_B_D168_RNA1_Lib1_GL102_S31_nohmrRNA_noglobinLog,44365791
G384_Watkins07_Unvax_rh2861_B_D3-SIV_RNA1_Lib1_GL102_S40_nohmrRNA_noglobinLog,33449943
G383_Watkins07_Unvax_rh2861_B_D0-SIV_RNA1_Lib1_GL102_S29_nohmrRNA_noglobinLog,34227869
G385_Watkins07_Unvax_rh2861_B_D7-SIV_RNA1_Lib1_GL105_S83_nohmrRNA_noglobinLog,44838455
G394_Watkins07_AVR_rh2943_B_D3-SIV_RNA1_Lib1_GL104_S36_nohmrRNA_noglobinLog,42762411
G393_Watkins07_AVR_rh2943_B_D0-SIV_RNA1_Lib1_GL104_S60_nohmrRNA_noglobinLog,43701471
G397_Watkins07_AVR_rh2943_B_D14-SIV_RNA1_Lib1_GL102_S28_nohmrRNA_noglobinLog,34958783
G396_Watkins07_AVR_rh2943_B_D10-SIV_RNA1_Lib1_GL104_S79_nohmrRNA_noglobinLog,51475663
G395_Watkins07_AVR_rh2943_B_D7-SIV_RNA1_Lib1_GL104_S72_nohmrRNA_noglobinLog,41062141
G400_Watkins07_Unvax_rh2995_B_D10-SIV_RNA1_Lib1_GL102_S81_nohmrRNA_noglobinLog,33331287
G399_Watkins07_Unvax_rh2995_B_D3-SIV_RNA1_Lib1_GL104_S65_nohmrRNA_noglobinLog,39267527
G398_Watkins07_Unvax_rh2995_B_D0-SIV_RNA1_Lib1_GL102_S58_nohmrRNA_noglobinLog,34259999
G218_Watkins07_AVR_rh3032_B_D168_RNA1_Lib1_GL102_S62_nohmrRNA_noglobinLog,32703776
G404_Watkins07_Unvax_rh3000_B_D3-SIV_RNA1_Lib1_GL102_S48_nohmrRNA_noglobinLog,31346646
G403_Watkins07_Unvax_rh3000_B_D0-SIV_RNA1_Lib1_GL102_S42_nohmrRNA_noglobinLog,30597040
G401_Watkins07_Unvax_rh2995_B_D14-SIV_RNA1_Lib1_GL105_S67_nohmrRNA_noglobinLog,38890015
G219_Watkins07_AVR_rh3033_B_D168_RNA1_Lib1_GL104_S51_nohmrRNA_noglobinLog,38510348
G406_Watkins07_Unvax_rh3000_B_D10-SIV_RNA1_Lib1_GL102_S34_nohmrRNA_noglobinLog,29766982
G407_Watkins07_AVR_rh3006_B_D0-SIV_RNA2_Lib1_GL102_S38_nohmrRNA_noglobinLog,36127456
G405_Watkins07_Unvax_rh3000_B_D7-SIV_RNA1_Lib1_GL105_S64_nohmrRNA_noglobinLog,47579855
G220_Watkins07_AVR_rh3036_B_D168_RNA1_Lib1_GL104_S50_nohmrRNA_noglobinLog,34400617
G410_Watkins07_AVR_rh3006_B_D10-SIV_RNA1_Lib1_GL102_S20_nohmrRNA_noglobinLog,32514421
G221_Watkins07_AVR_rh3037_B_D168_RNA1_Lib1_GL105_S57_nohmrRNA_noglobinLog,41964572
G408_Watkins07_AVR_rh3006_B_D3-SIV_RNA1_Lib1_GL105_S65_nohmrRNA_noglobinLog,48317938
G409_Watkins07_AVR_rh3006_B_D7-SIV_RNA1_Lib1_GL104_S69_nohmrRNA_noglobinLog,46570742
G412_Watkins07_AVR_rh3011_B_D0-SIV_RNA2_Lib2_GL105_S78_nohmrRNA_noglobinLog,24726734
G222_Watkins07_AVR_rh3045_B_D168_RNA1_Lib1_GL102_S4_nohmrRNA_noglobinLog,33059729
G413_Watkins07_AVR_rh3011_B_D3-SIV_RNA1_Lib1_GL102_S93_nohmrRNA_noglobinLog,33720112
G411_Watkins07_AVR_rh3006_B_D14-SIV_RNA2_Lib1_GL104_S84_nohmrRNA_noglobinLog,48513018
G223_Watkins07_AVR_rh3048_B_D168_RNA1_Lib1_GL104_S53_nohmrRNA_noglobinLog,41999750
G415_Watkins07_AVR_rh3011_B_D10-SIV_RNA1_Lib1_GL104_S26_nohmrRNA_noglobinLog,36151118
G416_Watkins07_AVR_rh3011_B_D14-SIV_RNA1_Lib1_GL104_S90_nohmrRNA_noglobinLog,36013660
G414_Watkins07_AVR_rh3011_B_D7-SIV_RNA1_Lib1_GL102_S44_nohmrRNA_noglobinLog,33031911
G224_Watkins07_AVR_rh3053_B_D168_RNA1_Lib1_GL104_S23_nohmrRNA_noglobinLog,31479329
G419_Watkins07_Unvax_rh3013_B_D7-SIV_RNA1_Lib1_GL104_S37_nohmrRNA_noglobinLog,43022411
G225_Watkins07_AVR_r08014_B_D196_RNA1_Lib1_GL104_S96_nohmrRNA_noglobinLog,39982246
G417_Watkins07_Unvax_rh3013_B_D0-SIV_RNA1_Lib1_GL105_S66_nohmrRNA_noglobinLog,42462519
G420_Watkins07_Unvax_rh3013_B_D10-SIV_RNA1_Lib1_GL104_S14_nohmrRNA_noglobinLog,41849851
G226_Watkins07_AVR_r14065_B_D196_RNA1_Lib1_GL104_S102_nohmrRNA_noglobinLog,45629225
G422_Watkins07_AVR_rh3032_B_D7-SIV_RNA1_Lib1_GL104_S16_nohmrRNA_noglobinLog,30673978
G423_Watkins07_AVR_rh3032_B_D10-SIV_RNA1_Lib1_GL102_S19_nohmrRNA_noglobinLog,34357891
G421_Watkins07_Unvax_rh3013_B_D14-SIV_RNA1_Lib1_GL104_S7_nohmrRNA_noglobinLog,38284750
G227_Watkins07_AVR_r16007_B_D196_RNA1_Lib1_GL102_S77_nohmrRNA_noglobinLog,34795279
G425_Watkins07_AVR_rh3032_B_D7-SIV_RNA1_Lib2_GL105_S93_nohmrRNA_noglobinLog,32497385
G228_Watkins07_AVR_r17017_B_D196_RNA1_Lib1_GL105_S70_nohmrRNA_noglobinLog,40192717
G426_Watkins07_AVR_rh3033_B_D10-SIV_RNA1_Lib1_GL102_S88_nohmrRNA_noglobinLog,39158900
G424_Watkins07_AVR_rh3032_B_D14-SIV_RNA1_Lib1_GL102_S85_nohmrRNA_noglobinLog,40889828
G427_Watkins07_AVR_rh3033_B_D14-SIV_RNA1_Lib1_GL104_S4_nohmrRNA_noglobinLog,36993465
G229_Watkins07_AVR_r17115_B_D196_RNA1_Lib1_GL104_S105_nohmrRNA_noglobinLog,38971126
G429_Watkins07_AVR_rh3036_B_D3-SIV_RNA1_Lib1_GL102_S98_nohmrRNA_noglobinLog,52398432
G428_Watkins07_AVR_rh3036_B_D0-SIV_RNA1_Lib1_GL102_S36_nohmrRNA_noglobinLog,31068223
G230_Watkins07_AVR_rh2932_B_D196_RNA1_Lib1_GL102_S32_nohmrRNA_noglobinLog,38310650
G432_Watkins07_AVR_rh3036_B_D14-SIV_RNA1_Lib1_GL104_S41_nohmrRNA_noglobinLog,29732033
G431_Watkins07_AVR_rh3036_B_D10-SIV_RNA1_Lib1_GL102_S35_nohmrRNA_noglobinLog,36469258
G430_Watkins07_AVR_rh3036_B_D7-SIV_RNA1_Lib1_GL102_S67_nohmrRNA_noglobinLog,36581803
G231_Watkins07_AVR_rh2943_B_D196_RNA1_Lib1_GL105_S96_nohmrRNA_noglobinLog,48417792
G434_Watkins07_AVR_rh3037_B_D3-SIV_RNA1_Lib1_GL105_S58_nohmrRNA_noglobinLog,39345569
G232_Watkins07_AVR_rh3006_B_D196_RNA1_Lib1_GL105_S79_nohmrRNA_noglobinLog,44171812
G433_Watkins07_AVR_rh3037_B_D0-SIV_RNA1_Lib1_GL102_S92_nohmrRNA_noglobinLog,40817086
G435_Watkins07_AVR_rh3037_B_D7-SIV_RNA1_Lib1_GL104_S58_nohmrRNA_noglobinLog,41655374
G437_Watkins07_AVR_rh3037_B_D14-SIV_RNA1_Lib1_GL102_S30_nohmrRNA_noglobinLog,32632401
G233_Watkins07_AVR_rh3011_B_D196_RNA1_Lib1_GL105_S73_nohmrRNA_noglobinLog,46312236
G436_Watkins07_AVR_rh3037_B_D10-SIV_RNA1_Lib1_GL104_S88_nohmrRNA_noglobinLog,38922525
G438_Watkins07_AVR_rh3045_B_D0-SIV_RNA1_Lib1_GL105_S84_nohmrRNA_noglobinLog,40461259
G234_Watkins07_AVR_rh3032_B_D196_RNA1_Lib1_GL104_S22_nohmrRNA_noglobinLog,32584095
G439_Watkins07_AVR_rh3045_B_D3-SIV_RNA1_Lib1_GL102_S45_nohmrRNA_noglobinLog,27782915
G441_Watkins07_AVR_rh3045_B_D10-SIV_RNA1_Lib1_GL102_S24_nohmrRNA_noglobinLog,29910987
G440_Watkins07_AVR_rh3045_B_D7-SIV_RNA1_Lib1_GL104_S12_nohmrRNA_noglobinLog,34446089
G235_Watkins07_AVR_rh3033_B_D196_RNA1_Lib1_GL104_S85_nohmrRNA_noglobinLog,33935788
G444_Watkins07_AVR_rh3048_B_D3-SIV_RNA1_Lib1_GL104_S56_nohmrRNA_noglobinLog,36892511
G443_Watkins07_AVR_rh3048_B_D0-SIV_RNA1_Lib1_GL102_S91_nohmrRNA_noglobinLog,36484279
G442_Watkins07_AVR_rh3045_B_D14-SIV_RNA1_Lib1_GL102_S10_nohmrRNA_noglobinLog,29871686
G236_Watkins07_AVR_rh3036_B_D196_RNA1_Lib1_GL102_S37_nohmrRNA_noglobinLog,36030297
G447_Watkins07_AVR_rh3048_B_D14-SIV_RNA1_Lib1_GL104_S18_nohmrRNA_noglobinLog,36812147
G237_Watkins07_AVR_rh3037_B_D196_RNA1_Lib1_GL102_S68_nohmrRNA_noglobinLog,30362754
G446_Watkins07_AVR_rh3048_B_D10-SIV_RNA1_Lib1_GL104_S97_nohmrRNA_noglobinLog,44297312
G445_Watkins07_AVR_rh3048_B_D7-SIV_RNA1_Lib1_GL105_S88_nohmrRNA_noglobinLog,48408745
G448_Watkins07_AVR_rh3053_B_D-7-SIV_RNA1_Lib1_GL104_S35_nohmrRNA_noglobinLog,38262727
G238_Watkins07_AVR_rh3045_B_D196_RNA1_Lib1_GL104_S91_nohmrRNA_noglobinLog,38634562
