,experiment
G363_Watkins07_Unvax_rh2527_B_D0-SIV_RNA1_Lib1_GL104_S67_nohmrRNA_noglobinLog,46664987
G366_Watkins07_Unvax_rh2527_B_D10-SIV_RNA1_Lib1_GL104_S61_nohmrRNA_noglobinLog,44765542
G389_Watkins07_AVR_rh2932_B_D3-SIV_RNA1_Lib1_GL104_S78_nohmrRNA_noglobinLog,56307561
G367_Watkins07_Unvax_rh2527_B_D14-SIV_RNA1_Lib1_GL105_S76_nohmrRNA_noglobinLog,51397312
G365_Watkins07_Unvax_rh2527_B_D7-SIV_RNA1_Lib1_GL105_S82_nohmrRNA_noglobinLog,60305597
G368_Watkins07_Unvax_rh2756_B_D0-SIV_RNA1_Lib1_GL102_S3_nohmrRNA_noglobinLog,30954560
G369_Watkins07_Unvax_rh2756_B_D3-SIV_RNA1_Lib1_GL102_S9_nohmrRNA_noglobinLog,37136467
G370_Watkins07_Unvax_rh2756_B_D7-SIV_RNA1_Lib1_GL104_S9_nohmrRNA_noglobinLog,41483861
G373_Watkins07_Unvax_rh2810_B_D0-SIV_RNA1_Lib1_GL105_S86_nohmrRNA_noglobinLog,41209572
G372_Watkins07_Unvax_rh2756_B_D14-SIV_RNA1_Lib1_GL104_S48_nohmrRNA_noglobinLog,46632223
G371_Watkins07_Unvax_rh2756_B_D10-SIV_RNA1_Lib1_GL105_S68_nohmrRNA_noglobinLog,56238414
G216_Watkins07_AVR_rh3006_B_D168_RNA1_Lib1_GL102_S11_nohmrRNA_noglobinLog,37164351
G375_Watkins07_Unvax_rh2810_B_D7-SIV_RNA1_Lib1_GL104_S20_nohmrRNA_noglobinLog,39046052
G376_Watkins07_Unvax_rh2810_B_D10-SIV_RNA1_Lib1_GL102_S63_nohmrRNA_noglobinLog,36920169
G374_Watkins07_Unvax_rh2810_B_D3-SIV_RNA1_Lib1_GL104_S15_nohmrRNA_noglobinLog,39744037
G378_Watkins07_Unvax_rh2848_B_D0-SIV_RNA1_Lib1_GL104_S29_nohmrRNA_noglobinLog,36609106
G379_Watkins07_Unvax_rh2848_B_D3-SIV_RNA1_Lib1_GL102_S17_nohmrRNA_noglobinLog,35499519
G377_Watkins07_Unvax_rh2810_B_D14-SIV_RNA1_Lib1_GL102_S56_nohmrRNA_noglobinLog,41691949
G380_Watkins07_Unvax_rh2848_B_D7-SIV_RNA1_Lib1_GL104_S32_nohmrRNA_noglobinLog,38230050
G392_Watkins07_AVR_rh2932_B_D14-SIV_RNA1_Lib1_GL102_S90_nohmrRNA_noglobinLog,37851547
G382_Watkins07_Unvax_rh2848_B_D14-SIV_RNA1_Lib1_GL102_S83_nohmrRNA_noglobinLog,39118253
G381_Watkins07_Unvax_rh2848_B_D10-SIV_RNA1_Lib1_GL104_S99_nohmrRNA_noglobinLog,41567735
G217_Watkins07_AVR_rh3011_B_D168_RNA1_Lib1_GL102_S31_nohmrRNA_noglobinLog,48902835
G384_Watkins07_Unvax_rh2861_B_D3-SIV_RNA1_Lib1_GL102_S40_nohmrRNA_noglobinLog,36273839
G383_Watkins07_Unvax_rh2861_B_D0-SIV_RNA1_Lib1_GL102_S29_nohmrRNA_noglobinLog,37524116
G385_Watkins07_Unvax_rh2861_B_D7-SIV_RNA1_Lib1_GL105_S83_nohmrRNA_noglobinLog,48133796
G394_Watkins07_AVR_rh2943_B_D3-SIV_RNA1_Lib1_GL104_S36_nohmrRNA_noglobinLog,46149042
G393_Watkins07_AVR_rh2943_B_D0-SIV_RNA1_Lib1_GL104_S60_nohmrRNA_noglobinLog,46975705
G397_Watkins07_AVR_rh2943_B_D14-SIV_RNA1_Lib1_GL102_S28_nohmrRNA_noglobinLog,38110440
G396_Watkins07_AVR_rh2943_B_D10-SIV_RNA1_Lib1_GL104_S79_nohmrRNA_noglobinLog,55550122
G395_Watkins07_AVR_rh2943_B_D7-SIV_RNA1_Lib1_GL104_S72_nohmrRNA_noglobinLog,44316572
G400_Watkins07_Unvax_rh2995_B_D10-SIV_RNA1_Lib1_GL102_S81_nohmrRNA_noglobinLog,36440548
G399_Watkins07_Unvax_rh2995_B_D3-SIV_RNA1_Lib1_GL104_S65_nohmrRNA_noglobinLog,42198907
G398_Watkins07_Unvax_rh2995_B_D0-SIV_RNA1_Lib1_GL102_S58_nohmrRNA_noglobinLog,37544621
G218_Watkins07_AVR_rh3032_B_D168_RNA1_Lib1_GL102_S62_nohmrRNA_noglobinLog,35612312
G404_Watkins07_Unvax_rh3000_B_D3-SIV_RNA1_Lib1_GL102_S48_nohmrRNA_noglobinLog,34428589
G403_Watkins07_Unvax_rh3000_B_D0-SIV_RNA1_Lib1_GL102_S42_nohmrRNA_noglobinLog,33633404
G401_Watkins07_Unvax_rh2995_B_D14-SIV_RNA1_Lib1_GL105_S67_nohmrRNA_noglobinLog,42330647
G219_Watkins07_AVR_rh3033_B_D168_RNA1_Lib1_GL104_S51_nohmrRNA_noglobinLog,41628960
G406_Watkins07_Unvax_rh3000_B_D10-SIV_RNA1_Lib1_GL102_S34_nohmrRNA_noglobinLog,32731913
G407_Watkins07_AVR_rh3006_B_D0-SIV_RNA2_Lib1_GL102_S38_nohmrRNA_noglobinLog,40489340
G405_Watkins07_Unvax_rh3000_B_D7-SIV_RNA1_Lib1_GL105_S64_nohmrRNA_noglobinLog,51911081
G220_Watkins07_AVR_rh3036_B_D168_RNA1_Lib1_GL104_S50_nohmrRNA_noglobinLog,37241579
G410_Watkins07_AVR_rh3006_B_D10-SIV_RNA1_Lib1_GL102_S20_nohmrRNA_noglobinLog,35685929
G221_Watkins07_AVR_rh3037_B_D168_RNA1_Lib1_GL105_S57_nohmrRNA_noglobinLog,45365397
G408_Watkins07_AVR_rh3006_B_D3-SIV_RNA1_Lib1_GL105_S65_nohmrRNA_noglobinLog,52503058
G409_Watkins07_AVR_rh3006_B_D7-SIV_RNA1_Lib1_GL104_S69_nohmrRNA_noglobinLog,50572127
G412_Watkins07_AVR_rh3011_B_D0-SIV_RNA2_Lib2_GL105_S78_nohmrRNA_noglobinLog,26872957
G222_Watkins07_AVR_rh3045_B_D168_RNA1_Lib1_GL102_S4_nohmrRNA_noglobinLog,36351928
G413_Watkins07_AVR_rh3011_B_D3-SIV_RNA1_Lib1_GL102_S93_nohmrRNA_noglobinLog,36773046
G411_Watkins07_AVR_rh3006_B_D14-SIV_RNA2_Lib1_GL104_S84_nohmrRNA_noglobinLog,52787521
G223_Watkins07_AVR_rh3048_B_D168_RNA1_Lib1_GL104_S53_nohmrRNA_noglobinLog,45387298
G415_Watkins07_AVR_rh3011_B_D10-SIV_RNA1_Lib1_GL104_S26_nohmrRNA_noglobinLog,38967060
G416_Watkins07_AVR_rh3011_B_D14-SIV_RNA1_Lib1_GL104_S90_nohmrRNA_noglobinLog,39268036
G414_Watkins07_AVR_rh3011_B_D7-SIV_RNA1_Lib1_GL102_S44_nohmrRNA_noglobinLog,36165033
G224_Watkins07_AVR_rh3053_B_D168_RNA1_Lib1_GL104_S23_nohmrRNA_noglobinLog,34247759
G419_Watkins07_Unvax_rh3013_B_D7-SIV_RNA1_Lib1_GL104_S37_nohmrRNA_noglobinLog,46600349
G225_Watkins07_AVR_r08014_B_D196_RNA1_Lib1_GL104_S96_nohmrRNA_noglobinLog,43074042
G417_Watkins07_Unvax_rh3013_B_D0-SIV_RNA1_Lib1_GL105_S66_nohmrRNA_noglobinLog,45911009
G420_Watkins07_Unvax_rh3013_B_D10-SIV_RNA1_Lib1_GL104_S14_nohmrRNA_noglobinLog,46002639
G226_Watkins07_AVR_r14065_B_D196_RNA1_Lib1_GL104_S102_nohmrRNA_noglobinLog,49958354
G422_Watkins07_AVR_rh3032_B_D7-SIV_RNA1_Lib1_GL104_S16_nohmrRNA_noglobinLog,32979112
G423_Watkins07_AVR_rh3032_B_D10-SIV_RNA1_Lib1_GL102_S19_nohmrRNA_noglobinLog,37769160
G421_Watkins07_Unvax_rh3013_B_D14-SIV_RNA1_Lib1_GL104_S7_nohmrRNA_noglobinLog,41203125
G227_Watkins07_AVR_r16007_B_D196_RNA1_Lib1_GL102_S77_nohmrRNA_noglobinLog,38169149
G425_Watkins07_AVR_rh3032_B_D7-SIV_RNA1_Lib2_GL105_S93_nohmrRNA_noglobinLog,34965381
G228_Watkins07_AVR_r17017_B_D196_RNA1_Lib1_GL105_S70_nohmrRNA_noglobinLog,43628090
G426_Watkins07_AVR_rh3033_B_D10-SIV_RNA1_Lib1_GL102_S88_nohmrRNA_noglobinLog,43273053
G424_Watkins07_AVR_rh3032_B_D14-SIV_RNA1_Lib1_GL102_S85_nohmrRNA_noglobinLog,45472676
G427_Watkins07_AVR_rh3033_B_D14-SIV_RNA1_Lib1_GL104_S4_nohmrRNA_noglobinLog,40078707
G229_Watkins07_AVR_r17115_B_D196_RNA1_Lib1_GL104_S105_nohmrRNA_noglobinLog,42453518
G429_Watkins07_AVR_rh3036_B_D3-SIV_RNA1_Lib1_GL102_S98_nohmrRNA_noglobinLog,56808750
G428_Watkins07_AVR_rh3036_B_D0-SIV_RNA1_Lib1_GL102_S36_nohmrRNA_noglobinLog,34011937
G230_Watkins07_AVR_rh2932_B_D196_RNA1_Lib1_GL102_S32_nohmrRNA_noglobinLog,41582414
G432_Watkins07_AVR_rh3036_B_D14-SIV_RNA1_Lib1_GL104_S41_nohmrRNA_noglobinLog,32059763
G431_Watkins07_AVR_rh3036_B_D10-SIV_RNA1_Lib1_GL102_S35_nohmrRNA_noglobinLog,39602367
G430_Watkins07_AVR_rh3036_B_D7-SIV_RNA1_Lib1_GL102_S67_nohmrRNA_noglobinLog,39838961
G231_Watkins07_AVR_rh2943_B_D196_RNA1_Lib1_GL105_S96_nohmrRNA_noglobinLog,53347359
G434_Watkins07_AVR_rh3037_B_D3-SIV_RNA1_Lib1_GL105_S58_nohmrRNA_noglobinLog,42667325
G232_Watkins07_AVR_rh3006_B_D196_RNA1_Lib1_GL105_S79_nohmrRNA_noglobinLog,47757264
G433_Watkins07_AVR_rh3037_B_D0-SIV_RNA1_Lib1_GL102_S92_nohmrRNA_noglobinLog,44936917
G435_Watkins07_AVR_rh3037_B_D7-SIV_RNA1_Lib1_GL104_S58_nohmrRNA_noglobinLog,45138694
G437_Watkins07_AVR_rh3037_B_D14-SIV_RNA1_Lib1_GL102_S30_nohmrRNA_noglobinLog,35963897
G233_Watkins07_AVR_rh3011_B_D196_RNA1_Lib1_GL105_S73_nohmrRNA_noglobinLog,49888305
G436_Watkins07_AVR_rh3037_B_D10-SIV_RNA1_Lib1_GL104_S88_nohmrRNA_noglobinLog,42123760
G438_Watkins07_AVR_rh3045_B_D0-SIV_RNA1_Lib1_GL105_S84_nohmrRNA_noglobinLog,44293338
