file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G328_Watkins07_Unvax_r15093_B_D7-SIV_RNA1_Lib1_GL105_S75_rRNA_globinfilter.log	64930548	12135	0.02	103484	0.16	6959	0.01	198740	0.15	246011	0.19	0.53
../logs/rRNA_globinfilter/G329_Watkins07_Unvax_r15093_B_D10-SIV_RNA1_Lib1_GL102_S49_rRNA_globinfilter.log	36501542	4760	0.01	37782	0.10	2804	0.01	75957	0.10	96056	0.13	0.36
../logs/rRNA_globinfilter/G330_Watkins07_Unvax_r15093_B_D14-SIV_RNA1_Lib1_GL104_S89_rRNA_globinfilter.log	35153705	3839	0.01	28841	0.08	2309	0.01	72349	0.10	93207	0.13	0.34
../logs/rRNA_globinfilter/G331_Watkins07_AVR_r16007_B_D0-SIV_RNA1_Lib2_GL104_S98_rRNA_globinfilter.log	27253941	4488	0.02	85290	0.31	1852	0.01	75551	0.14	115654	0.21	0.69
../logs/rRNA_globinfilter/G332_Watkins07_AVR_r16007_B_D3-SIV_RNA1_Lib1_GL102_S95_rRNA_globinfilter.log	41915222	7917	0.02	72522	0.17	5659	0.01	124501	0.15	159307	0.19	0.54
../logs/rRNA_globinfilter/G333_Watkins07_AVR_r16007_B_D7-SIV_RNA1_Lib1_GL104_S52_rRNA_globinfilter.log	49124677	7007	0.01	67742	0.14	4978	0.01	106174	0.11	141654	0.14	0.41
../logs/rRNA_globinfilter/G334_Watkins07_AVR_r16007_B_D10-SIV_RNA1_Lib1_GL104_S86_rRNA_globinfilter.log	53183654	7457	0.01	64920	0.12	4904	0.01	127898	0.12	160793	0.15	0.42
../logs/rRNA_globinfilter/G335_Watkins07_AVR_r16007_B_D14-SIV_RNA1_Lib1_GL104_S81_rRNA_globinfilter.log	53171532	7211	0.01	64291	0.12	4496	0.01	112113	0.11	141807	0.13	0.38
../logs/rRNA_globinfilter/G336_Watkins07_Unvax_r17082_B_D-4-SIV_RNA1_Lib1_GL104_S28_rRNA_globinfilter.log	40647746	6032	0.01	55017	0.14	3674	0.01	113123	0.14	142177	0.18	0.47
../logs/rRNA_globinfilter/G337_Watkins07_Unvax_r17082_B_D10-SIV_RNA1_Lib1_GL104_S55_rRNA_globinfilter.log	46874939	6902	0.01	52351	0.11	3970	0.01	99624	0.11	120749	0.13	0.37
